Place_name,Latitude,Longitude,Address,Borough,Neighborhood,Category_name
Dr Griesner,40.723433,-73.845097,"108TH St (Jewel Avenue), Forest Hills, NY 11375",Forest Hills,Forest Hills,Optometrist
Main Street Radiology,40.761955,-73.830199,"13625 37th Ave, Flushing, NY 11354",Flushing,Down Town Flushing,Optometrist
Junction Medical,40.753023,-73.875125,"9211 35th Ave, Jackson Heights, NY 11372",Jackson Heights,Elmhurst,Optometrist
Dr Vitale,40.729182,-73.899741,"5375 65th Pl, Maspeth, NY 11378",Maspeth,Maspeth,Optometrist
X Collado Dental Center,40.679902,-73.860443,"10105 77th St, Ozone Park, NY 11416",Ozone Park,City Line,Optometrist
Matteo Chiropractic & Physical Therapy and DOT Physicals,40.778445,-73.839442,"12910 23rd Ave (23rd Ave and 130th st.), College Point, NY 11356",College Point,College Point,Optometrist
BJ's Optical,40.783467,-73.830927,"13705 20th Ave, College Point, NY 11356",College Point,College Point,Optometrist
"Esposito Stephen, MD",40.758825,-73.783613,"4223 Francis Lewis Blvd, Bayside, NY 11361",Bayside,Bayside,Optometrist
Young H Kwon DDS,40.772361,-73.734369,"25517 Northern Blvd, Little Neck, NY 11362",Little Neck,Little Neck,Optometrist
All Bright Dental PC,40.74865,-73.709333,"26309 Union Tpke, Glen Oaks, NY 11004",Glen Oaks,Glen Oaks,Optometrist
Steps To Success Occupatiinal Therapy,40.725896,-73.717828,"24902 Jericho Tpke, Floral Park, NY 11001",Floral Park,Bellaire,Optometrist
Apple Dental,40.718179,-73.833429,"11316 76th Rd (76th Road,), Forest Hills, NY 11375",Forest Hills,Forest Hills,Optometrist
Chapin Home for the Aging,40.714583,-73.801183,"16501 Chapin Pkwy, Queens, NY 11432",Queens,Jamaica Hills,Optometrist
Sunrise Medical Labs,40.717414,-73.740191,"21517 Jamaica Ave, Queens Village, NY 11428",Queens Village,Cambria Heights,Optometrist
54I 10-89,40.667007,-73.789656,"N Conduit Ave (150 St), Jamaica, NY 11434",Jamaica,South Jamaica,Optometrist
Advanced Cosmetic Surgery,40.674387,-73.73193,"13333 Brookville Blvd, Rosedale, NY 11422",Rosedale,Laurelton,Optometrist
Transitional Svces for New York of The Rockaways,40.6054,-73.754853,"1308 Beach Channel Dr, Far Rockaway, NY 11691",Far Rockaway,Far Rockaway,Optometrist
Rock Pharmacy & Surgical,40.587325,-73.813592,"8818 Rockaway Beach Blvd, Rockaway Beach, NY 11693",Rockaway Beach,Hammels,Optometrist
Motion Sports Medicine,40.769926,-73.923853,"2717 Crescent St, Astoria, NY 11102",Astoria,Astoria,Optometrist
Drs. Levitt and Ganci DDS,40.780706,-73.801681,"16034 Willets Point Blvd (Francis Lewis Boulevard), Whitestone, NY 11357",Whitestone,Whitestone,Optometrist
North Shore LIJ Laboratories,40.779814,-73.775126,"2391 Bell Blvd, Bayside, NY 11360",Bayside,Bay Terrace,Optometrist
AdvantageCare Physicians,40.598716,-73.763677,"2915 Far Rockaway Blvd, Far Rockaway, NY 11691",Far Rockaway,Bayswater,Optometrist
Premier Health Services,40.593459,-73.796922,"430 Beach 68th St, Arverne, NY 11692",Arverne,Somerville,Optometrist
Sands Point Physical Therapy,40.584182,-73.822793,"230 Beach 102nd St (at Beach St), Rockaway Park, NY 11694",Rockaway Park,Seaside,Optometrist
Park Ave Psychotherapy Group,40.573183,-73.852594,"167 Beach 135th St, Rockaway Park, NY 11694",Rockaway Park,Rockaway Beach,Optometrist
Fresh Meadows Animal Clinic,40.730264,-73.778252,"19209 Union Tpke, Fresh Meadows, NY 11366",Fresh Meadows,Fresh Meadows,Optometrist
Community First Medical,40.71417,-73.781315,"87-16 Avon St, New York, NY 11432",New York,Hillside,Optometrist
NewYork-Presbyterian Medical Group Queens - Electrophysiology,40.74733,-73.824983,"5645 Main St, Flushing, NY 11355",Flushing,Queensboro Hills,Optometrist
Apple Fitness & Rehabilitation,40.577886,-73.851851,"436 Beach 132nd St, Rockaway Park, NY 11694",Rockaway Park,Rockaway Beach,Optometrist
Resort Nursing Home,40.593566,-73.796926,"430 Beach 68th St, Far Rockaway, NY 11692",Far Rockaway,Somerville,Optometrist
Rosedale Dental,40.657236,-73.745471,"23520 147th Ave, Rosedale, NY 11422",Rosedale,Brookville,Optometrist
"Rita Ellent, Od - The Gardens Eye Care",40.71896,-73.844979,"12 Station Sq, Forest Hills, NY 11375",Forest Hills,Forest Hills,Optometrist
Staten Island Aids Task Force,40.642101,-74.077255,"25 Hyatt St, Staten Island, NY 10301",Staten Island,Brighton Heights,Optometrist
Staten Island Care Center,40.640052,-74.094646,"200 Lafayette Ave, Staten Island, NY 10301",Staten Island,New Brighton,Optometrist
Richmond Community Support Org,40.63541,-74.135025,"235 Port Richmond Ave, Staten Island, NY 10302",Staten Island,Port Richmond,Optometrist
Sayed Gus,40.592974,-74.163211,"2222 Richmond Ave, Staten Island, NY 10314",Staten Island,New Springville,Optometrist
Staten Island Veterinary Group,40.59569,-74.184508,"3875 Victory Blvd, Staten Island, NY 10314",Staten Island,Chelsea,Optometrist
Best Care,40.640575,-74.075928,"60 Bay St, Staten Island, NY 10301",Staten Island,Brighton Heights,Optometrist
Prestige Optical,40.576052,-74.104485,"2239 Hylan Blvd, Staten Island, NY 10306",Staten Island,Grant City,Optometrist
Quest Diagnostics,40.56807,-74.112595,"2627 Hylan Blvd (At Beach Ave.), Staten Island, NY 10306",Staten Island,New Dorp,Optometrist
Dr Ceka's Office,40.51421,-74.235404,"7098 Amboy Rd, Staten Island, NY 10307",Staten Island,Harbor Terrace,Optometrist
FDNY EMS Station 23,40.553932,-74.21324,"1100 Rossville Ave, New York, NY 10309",New York,Rossville,Optometrist
Victory Eye Specialists,40.595885,-74.183341,"3860 Victory Blvd, Staten Island, NY 10314",Staten Island,Chelsea,Optometrist
Silver Lake Nursing Home,40.633657,-74.092115,"275 Castleton Ave, Staten Island, NY 10301",Staten Island,Port Johnson,Optometrist
Value Dental of Elizabeth,40.650716,-74.195223,"324 Elizabeth Ave, Elizabeth, NJ 07206",Elizabeth,Mravlag Manor,Optometrist
Birch Family Services,40.639113,-73.899388,"1321 E 94th St, Brooklyn, NY 11236",Brooklyn,Canarsie,Optometrist
Dynamic Dental Work,40.618547,-73.909117,"6820 Avenue U, Brooklyn, NY 11234",Brooklyn,Georgetown,Optometrist
21 Century Cosmetic Dentistry,40.710316,-73.794325,"16819 Hillside Ave, Jamaica, NY 11432",Jamaica,Jamaica Hills,Optometrist
Bronx Lebanon - Fulton Division,40.831428,-73.902953,"1276 Fulton Ave (E 169th St), Bronx, NY 10456",Bronx,Morrisania,Optometrist
209 NYC Dental,40.759376,-73.967087,"209 E 56th St (3rd Avenue), New York, NY 10022",New York,East Side,Optometrist
VA Medical Center,40.736876,-73.977444,"423 E 23rd St (at 1st Ave), New York, NY 10010",New York,Bellevue,Optometrist
Bedford Stuyvesant Family Health Center,40.680273,-73.944535,"1456 Fulton St (btwn Brooklyn & Kingston), Brooklyn, NY 11216",Brooklyn,Bedford,Optometrist
Autovision,40.679062,-73.898742,"1751 Bushwick Ave, Brooklyn, NY 11207",Brooklyn,Broadway Junction,Optometrist
Visions By Victoria Rose,40.547309,-74.222519,"639 Veterans Rd W, Staten Island, NY 10309",Staten Island,Rossville,Optometrist
Borchelt Peter PhD,40.589842,-73.923361,"102 Canton Ct, Brooklyn, NY 11229",Brooklyn,Gerritsen,Optometrist
"Michael Yuryev, DO - Primary Care Doctor | Family Doctor | Brooklyn, NY",40.603227,-73.952473,"2409 Ocean Ave (Ave T and Ave S), Brooklyn, NY 11229",Brooklyn,Sheepshead Bay,Optometrist
Dr Yu - Pediatricians,40.72225,-73.88438,"Lutheran Ave, Middle Village, NY 11379",Middle Village,Maspeth,Optometrist
Staten Island University Hosp,40.52464,-74.200691,"17 Seguine Ave, Staten Island, NY 10309",Staten Island,Prince's Bay,Optometrist
Philip E Otterbeck DDS,40.574476,-74.122177,"2517 Amboy Rd, Staten Island, NY 10306",Staten Island,New Dorp,Optometrist
Optimum Health and Performance,40.51634,-74.234324,"7001 Amboy Rd, Staten Island, NY 10307",Staten Island,Harbor Terrace,Optometrist
Weiss & Chassen DDS,40.856603,-73.86135,"918 Pelham Pkwy S, Bronx, NY 10462",Bronx,Pelham Parkway,Optometrist
University Hospital of Brooklyn,40.65509,-73.945009,"470 Clarkson Ave (E 37th St), Brooklyn, NY 11203",Brooklyn,Prospect,Optometrist
Beth Abraham,40.903082,-73.848505,"740 Cranford Ave, Bronx, NY 10470",Bronx,Wakefield,Home Health Care Service
Bay Park Nursing Rehab,40.879583,-73.829172,"801 Co Op City Blvd, Bronx, NY 10475",Bronx,Coop City,Home Health Care Service
"Friedman, Joel M, DDS - Riverdale Oral Surgery",40.885365,-73.914524,"3333 Henry Hudson Pkwy W, Bronx, NY 10463",Bronx,Spuyten Duyvil,Home Health Care Service
Schervier Nursing Care Center,40.881652,-73.918019,"2975 Independence Ave, Bronx, NY 10463",Bronx,Marble Hill,Home Health Care Service
NewYork-Presbyterian Allen Hospital,40.873242,-73.913147,"5141 Broadway (220th St), New York, NY 10034",New York,Inwood,Home Health Care Service
All Med Medical,40.899422,-73.858404,"4377 Bronx Blvd (Neried Ave), Bronx, NY 10466",Bronx,Wakefield,Home Health Care Service
North Central Bronx Hospital,40.880453,-73.881273,"3424 Kossuth Ave (at E 208th St), Bronx, NY 10467",Bronx,Norwood,Home Health Care Service
Montefiore Medical Center,40.894326,-73.861066,"600 E 233rd St (Carpenter Ave.), Bronx, NY 10466",Bronx,Williamsbridge,Home Health Care Service
Broadway Eye Care,40.869732,-73.827723,"2075 Bartow Ave, Bronx, NY 10475",Bronx,Coop City,Home Health Care Service
NYC Health + Hospitals/Jacobi,40.855915,-73.84618,"1400 Pelham Pkwy S (at Eastchester Rd), Bronx, NY 10461",Bronx,Pelham Parkway,Home Health Care Service
OLA Wellness,40.845529,-73.827819,"1634 Mahan Ave, Bronx, NY 10461",Bronx,Unionport,Home Health Care Service
Hasan Mahfujul,40.857824,-73.901579,"108 E 183rd St, Bronx, NY 10453",Bronx,Fordham,Home Health Care Service
Luis E Guerrero,40.830401,-73.865773,"1216 Beach Ave, Bronx, NY 10472",Bronx,Parkchester,Home Health Care Service
Russ Berrie Medical Science Pavilion,40.840405,-73.939347,"1150 Saint Nicholas Ave (at W 168th St), New York, NY 10032",New York,Uptown,Home Health Care Service
GVS @ Lincoln Medical Center,40.817533,-73.924083,"234 E 149th St (btwn Park & Morris Ave), Bronx, NY 10451",Bronx,Patterson Houses,Home Health Care Service
"NYC Health + Hospitals/Gotham Health, Belvis",40.81003,-73.915796,"545 E 142nd St, Bronx, NY 10454",Bronx,Mott Haven,Home Health Care Service
Montefiore Medical Center,40.812593,-73.90461,"555 Prospect Ave, Bronx, NY 10455",Bronx,John Adams Houses,Home Health Care Service
Bronx Lebanon - Fulton Division,40.831428,-73.902953,"1276 Fulton Ave (E 169th St), Bronx, NY 10456",Bronx,Morrisania,Home Health Care Service
Medical & Dental Office,40.828445,-73.876594,"1163 Manor Ave (Westcher Avenue), Bronx, NY 10472",Bronx,Longwood,Home Health Care Service
ProHEALTH Urgent Care of College Point,40.786623,-73.836241,"1 14TH Ave, College Point, NY 11356",College Point,College Point,Home Health Care Service
"William E Guerrero, OD - William E Guerrero PC",40.826393,-73.82219,"3730 E Tremont Ave, Bronx, NY 10465",Bronx,Schuvilerville,Home Health Care Service
Bevilacqua Joseph J DDS,40.838295,-73.82931,"2975 Waterbury Ave, Bronx, NY 10461",Bronx,Unionport,Home Health Care Service
South Bronx Mental Health Council,40.835601,-73.848463,"1401 Glover St, Bronx, NY 10462",Bronx,Parkchester,Home Health Care Service
Dr Biagiotti's Office,40.83859,-73.835139,"Tremont Ave (Duddley Ave), Bronx, NY 10461",Bronx,Unionport,Home Health Care Service
A Dental,40.847359,-73.857467,"960 Morris Park Ave, Bronx, NY 10462",Bronx,Van Nest,Home Health Care Service
Montefiore Medical Center Jack D. Weiler Hospital Emergency Department,40.849057,-73.846063,"Albert Einstein Hospital (1825 Eastchester Rd), Bronx, NY 10461",Bronx,Westchester,Home Health Care Service
Healthway Medical Care Pc,40.850201,-73.893546,"552 E 180th St, Bronx, NY 10457",Bronx,East Tremont,Home Health Care Service
"Pinzon, Robin Dr-Riverdale Family Practice",40.879976,-73.907795,"3050 Corlear Ave (at 231st St.), Bronx, NY 10463",Bronx,Kings Bridge,Home Health Care Service
Guilbe Rose MD,40.915821,-73.897133,"503 S Broadway, Yonkers, NY 10705",Yonkers,Fildston,Home Health Care Service
University Diagnostic Medical Imaging Pc,40.844259,-73.839413,"1200 Waters Pl, Bronx, NY 10461",Bronx,Westchester,Home Health Care Service
Robert Vavolizza,40.82938,-73.824665,"3585 E Tremont Ave, Bronx, NY 10465",Bronx,Schuvilerville,Home Health Care Service
Detect Lab,40.823586,-73.820034,"3860 E Tremont Ave, Bronx, NY 10465",Bronx,Throgs Neck,Home Health Care Service
Dr Samarneh Office/Soundview Medical,40.817418,-73.862498,"607 Soundview Ave, Bronx, NY 10473",Bronx,Soundview,Home Health Care Service
Your Bronx Dentist,40.87802,-73.879256,"3310 Bainbridge Ave, Bronx, NY 10467",Bronx,Norwood,Home Health Care Service
Urgent Care of Eastchester Road,40.859946,-73.842781,"2304 Eastchester Rd, Bronx, NY 10469",Bronx,Hillside,Home Health Care Service
Bronx Lebanon Hospital,40.843716,-73.912166,"1645 Grand Concourse (at Mt. Eden Ave.), Bronx, NY 10452",Bronx,Concourse,Home Health Care Service
"Culmine, John Montefiore Medical Group Bronx East",40.835132,-73.84779,"2300 Westchester Ave, Bronx, NY 10462",Bronx,Parkchester,Home Health Care Service
"Jeanne Mannino MA, LMHC",40.628581,-74.024504,"444 77th St, Brooklyn, NY 11209",Brooklyn,Bayridge,Home Health Care Service
VA Medical Center,40.736876,-73.977444,"423 E 23rd St (at 1st Ave), New York, NY 10010",New York,Bellevue,Home Health Care Service
Stand-Up Mri of Bensonhurst PC,40.595465,-73.982692,"2671 86th St, Brooklyn, NY 11223",Brooklyn,Bensonhurst,Home Health Care Service
Irina Berlin Medical PC,40.575991,-73.970095,"3080 W 1st St, Brooklyn, NY 11224",Brooklyn,Brighton Beach,Home Health Care Service
"Leona Kotlyar, DDS - Brooklyn Pediatric Dentistry",40.587848,-73.953667,"1512 Avenue Z, Brooklyn, NY 11235",Brooklyn,Sheepshead Bay,Home Health Care Service
Bedford Stuyvesant Family Health Center,40.680273,-73.944535,"1456 Fulton St (btwn Brooklyn & Kingston), Brooklyn, NY 11216",Brooklyn,Bedford,Home Health Care Service
"Lew, Mark Dr - Mark B Lew, Md Pediatric Center",40.633552,-73.950502,"2704 Glenwood Rd, Brooklyn, NY 11210",Brooklyn,Flatbush,Home Health Care Service
Prospect Park Animal Clinic,40.666686,-73.975408,"105 Prospect Park W (5th Street), Brooklyn, NY 11215",Brooklyn,Park Slope,Home Health Care Service
CityMD Prospect Heights Urgent Care - Brooklyn,40.678202,-73.9735,"288 Flatbush Ave (7th Ave), Brooklyn, NY 11217",Brooklyn,Fort Greene,Home Health Care Service
Neighborhood Natural Medicine,40.710225,-73.949523,"30 Maujer St, Brooklyn, NY 11206",Brooklyn,South Side,Home Health Care Service
Woodhull Medical And Mental Health Center,40.699519,-73.942567,"760 Broadway (at Flushing Ave.), Brooklyn, NY 11206",Brooklyn,Ord-Stuyvesant,Home Health Care Service
Weill Cornell Medicine,40.692482,-73.99168,"186 Joralemon St (Court Street), Brooklyn, NY 11201",Brooklyn,Boerum Hill,Home Health Care Service
Medrite Urgent Care,40.688993,-73.992514,"151 Court St, Brooklyn, NY 11201",Brooklyn,Boerum Hill,Home Health Care Service
BluePearl Pet Hospital,40.680495,-73.984405,"190 3rd Ave, Brooklyn, NY 11217",Brooklyn,Boerum Hill,Home Health Care Service
Cobble Hill Acupuncture,40.690147,-73.996256,"113A Pacific St, Brooklyn, NY 11201",Brooklyn,Brooklyn Heights,Home Health Care Service
