neighborhood,longitude,latitude,borough
Sunset Park,-74.0103161852778,40.6451029492543,Brooklyn
Greenpoint,-73.9542409312739,40.7302009848647,Brooklyn
Gravesend,-73.9734708770845,40.5952600130659,Brooklyn
Brighton Beach,-73.9650944878534,40.576825065666,Brooklyn
Sheepshead Bay,-73.9431864048298,40.5868901267838,Brooklyn
Manhattan Terrace,-73.9574384055994,40.614432513351,Brooklyn
Flatbush,-73.958401065339,40.6363258902668,Brooklyn
Crown Heights,-73.9432911907358,40.6708291769529,Brooklyn
East Flatbush,-73.9361025618584,40.6417177666896,Brooklyn
Kensington,-73.9804211055948,40.6423819580035,Brooklyn
Windsor Terrace,-73.9800734043017,40.656945835751,Brooklyn
Prospect Heights,-73.9648592426269,40.6768222622547,Brooklyn
Brownsville,-73.9102353617661,40.6639499433975,Brooklyn
Williamsburg,-73.9581152922093,40.7071443934425,Brooklyn
Bushwick,-73.9252579748704,40.698116110179,Brooklyn
Bedford Stuyvesant,-73.941784886903,40.6872316077205,Brooklyn
Brooklyn Heights,-73.9937822549642,40.6958637227241,Brooklyn
Cobble Hill,-73.9985613921846,40.6879197224856,Brooklyn
Carroll Gardens,-73.9946537282801,40.6805402310765,Brooklyn
Red Hook,-74.0127589747356,40.6762532302509,Brooklyn
Gowanus,-73.9944408714534,40.6739311431872,Brooklyn
Fort Greene,-73.9729057436909,40.6885272601898,Brooklyn
Park Slope,-73.9770503018392,40.672320522682,Brooklyn
Cypress Hills,-73.876615964573,40.6823910114421,Brooklyn
East New York,-73.8806986391737,40.6699257008471,Brooklyn
Starrett City,-73.8793697004588,40.6475890523087,Brooklyn
Canarsie,-73.9020926977897,40.6355643279743,Brooklyn
Flatlands,-73.9291130264467,40.6304460437575,Brooklyn
Mill Island,-73.9081857177742,40.6063364216856,Brooklyn
Manhattan Beach,-73.9435372289189,40.5779135030866,Brooklyn
Coney Island,-73.9886829582164,40.574292564716,Brooklyn
Bath Beach,-73.9987522144352,40.5995187028224,Brooklyn
Borough Park,-73.9904982304481,40.633130512758,Brooklyn
Dyker Heights,-74.0193137563602,40.6192194577226,Brooklyn
Gerritsen Beach,-73.930101706912,40.590848433902,Brooklyn
Marine Park,-73.931344041085,40.6097477798946,Brooklyn
Clinton Hill,-73.9678430621637,40.6932294218815,Brooklyn
Sea Gate,-74.0078731120024,40.5763753789022,Brooklyn
Downtown,-73.983463374311,40.690844021098,Brooklyn
Boerum Hill,-73.983748241158,40.6856829120915,Brooklyn
Prospect Lefferts Gardens,-73.9548986707771,40.6584200174698,Brooklyn
Ocean Hill,-73.913068317874,40.6784025547954,Brooklyn
City Line,-73.8679759808133,40.6785699572748,Brooklyn
Bergen Beach,-73.8985563363032,40.6151495504531,Brooklyn
Midwood,-73.9575952348984,40.6255958986984,Brooklyn
Prospect Park South,-73.9626131671605,40.6470086031852,Brooklyn
Georgetown,-73.9160748395132,40.6238452447842,Brooklyn
East Williamsburg,-73.938858152692,40.7084924104155,Brooklyn
North Side,-73.9588085758758,40.714822906532,Brooklyn
South Side,-73.9580009515333,40.7108614726506,Brooklyn
Ocean Parkway,-73.9683667803554,40.6130597666794,Brooklyn
Fort Hamilton,-74.0319791453798,40.6147681269423,Brooklyn
Chinatown,-73.9942793625598,40.7156184223143,Manhattan
Washington Heights,-73.9369002798523,40.8519025255531,Manhattan
Inwood,-73.921210422039,40.8676839644992,Manhattan
Hamilton Heights,-73.9496879188337,40.8236042848119,Manhattan
Manhattanville,-73.9573853935188,40.8169344294978,Manhattan
Central Harlem,-73.943211126039,40.8159760674241,Manhattan
East Harlem,-73.9441822314852,40.7922494666303,Manhattan
Upper East Side,-73.96050763135,40.7756385733018,Manhattan
Yorkville,-73.9471178447183,40.7759298498849,Manhattan
Lenox Hill,-73.9588596881376,40.7681126582873,Manhattan
Roosevelt Island,-73.9491676922795,40.7621596057628,Manhattan
Upper West Side,-73.977059236306,40.7876579985349,Manhattan
Lincoln Square,-73.9853377700126,40.7735288894217,Manhattan
Clinton,-73.9961193630948,40.7591008914621,Manhattan
Midtown,-73.981668827303,40.7546911027062,Manhattan
Murray Hill,-73.9783320792413,40.7483030772522,Manhattan
Chelsea,-74.0031163347281,40.744034706748,Manhattan
Greenwich Village,-73.999914029459,40.7269328853613,Manhattan
East Village,-73.9822261650642,40.7278467772702,Manhattan
Lower East Side,-73.9808903199929,40.7178067489277,Manhattan
Tribeca,-74.0106832855909,40.7215219674432,Manhattan
Little Italy,-73.9973046720807,40.7193237939591,Manhattan
Soho,-74.0006566695976,40.7221838413179,Manhattan
West Village,-74.0061799812681,40.7344339357243,Manhattan
Manhattan Valley,-73.9642861774066,40.7973070417029,Manhattan
Morningside Heights,-73.9638962790533,40.8079997381658,Manhattan
Gramercy,-73.9813759483354,40.737209832715,Manhattan
Battery Park City,-74.0168693050862,40.7119319839457,Manhattan
Financial District,-74.0106654452127,40.7071071072705,Manhattan
Astoria,-73.9156537430423,40.7685085933549,Queens
Woodside,-73.9018416683828,40.7463490886022,Queens
Jackson Heights,-73.8828210916437,40.7519813800737,Queens
Elmhurst,-73.8816562228839,40.744048505122,Queens
Howard Beach,-73.8381376460028,40.6542252773849,Queens
Corona,-73.8568249734526,40.7423817501567,Queens
Forest Hills,-73.8444750078898,40.725263782165,Queens
Kew Gardens,-73.829819058257,40.7051790354148,Queens
Richmond Hill,-73.8318332144689,40.6979473147176,Queens
Flushing,-73.8317730032958,40.7644541969785,Queens
Long Island City,-73.9392022391551,40.7502173461053,Queens
Sunnyside,-73.9269161756158,40.7401762835192,Queens
East Elmhurst,-73.8670414765877,40.7640732388309,Queens
Maspeth,-73.8962171362686,40.7254273740936,Queens
Ridgewood,-73.9014351755959,40.7083231561386,Queens
Glendale,-73.8707416743561,40.7027624296784,Queens
Rego Park,-73.8578268690537,40.7289740948074,Queens
Woodhaven,-73.8581104655432,40.6898868791579,Queens
Ozone Park,-73.8432026617345,40.6807084682654,Queens
South Ozone Park,-73.8098647864904,40.668549577672,Queens
College Point,-73.8430452889613,40.7849027492602,Queens
Whitestone,-73.8142021661086,40.7812907660269,Queens
Bayside,-73.7742736306867,40.7660406328106,Queens
Auburndale,-73.7917624372806,40.7617295490326,Queens
Little Neck,-73.7388977558074,40.7708261928267,Queens
Douglaston,-73.7424982072733,40.7668460979076,Queens
Glen Oaks,-73.7154811899915,40.7494407997433,Queens
Bellerose,-73.720128148269,40.7285731817668,Queens
Kew Gardens Hills,-73.8208776493357,40.722578244228,Queens
Fresh Meadows,-73.7827133700326,40.7343944653313,Queens
Briarwood,-73.8117482245863,40.7109354725227,Queens
Jamaica Center,-73.7969016588829,40.7046573606872,Queens
Oakland Gardens,-73.7549497623433,40.7456185714185,Queens
Queens Village,-73.7387148457843,40.7188930921674,Queens
Hollis,-73.7592500933559,40.711243441919,Queens
South Jamaica,-73.7904261313554,40.6969112537899,Queens
St. Albans,-73.7586760372772,40.6944453852236,Queens
Rochdale,-73.7725878762091,40.6752113959173,Queens
Springfield Gardens,-73.7604209268229,40.6662304903686,Queens
Cambria Heights,-73.7352687370803,40.6927746391609,Queens
Rosedale,-73.7352607942828,40.6598164334281,Queens
Far Rockaway,-73.7549796804387,40.6031344325009,Queens
Broad Channel,-73.8200548911032,40.6030265835124,Queens
Breezy Point,-73.9255119699417,40.5574012884545,Queens
Steinway,-73.9022896039167,40.7759230156429,Queens
Beechhurst,-73.8043645172099,40.7927814036005,Queens
Bay Terrace,-73.7768022262158,40.7828428062456,Queens
Edgemere,-73.7761328239171,40.5956418073685,Queens
Arverne,-73.7919923313694,40.5891439437297,Queens
Rockaway Beach,-73.8223612108875,40.5828016968456,Queens
Neponsit,-73.8575467241083,40.572036730217,Queens
Murray Hill,-73.8127626913587,40.7641261226141,Queens
Floral Park,-73.7088470588925,40.7413784219454,Queens
Holliswood,-73.7671416671473,40.7209572076444,Queens
Jamaica Estates,-73.7872269693666,40.7168048301461,Queens
Queensboro Hill,-73.8258091511056,40.7445723092867,Queens
Hillcrest,-73.7976030091267,40.7238249018292,Queens
Ravenswood,-73.9315750607288,40.7617045260542,Queens
Lindenwood,-73.8496378240244,40.6639184192514,Queens
Laurelton,-73.7402560798982,40.6678838966025,Queens
Lefrak City,-73.8625247141374,40.7360745708308,Queens
Belle Harbor,-73.8540175039252,40.5761555654311,Queens
Rockaway Park,-73.8415337022619,40.5803429564613,Queens
Somerville,-73.7966475084405,40.5977106156577,Queens
Brookville,-73.7517531073115,40.6600032273361,Queens
Bellaire,-73.7388919891248,40.7330140402783,Queens
North Corona,-73.8575179067645,40.7540709990489,Queens
Forest Hills Gardens,-73.8410221123401,40.7146110815117,Queens
St. George,-74.079353125128,40.6449815710044,Staten Island
New Brighton,-74.0870165051662,40.6406145591351,Staten Island
Stapleton,-74.0779019266007,40.6269276253818,Staten Island
Rosebank,-74.0698052671614,40.6153049465276,Staten Island
West Brighton,-74.1071817826561,40.6318789265461,Staten Island
Grymes Hill,-74.0872481998373,40.624184791313,Staten Island
Todt Hill,-74.1113288180088,40.5970685181467,Staten Island
South Beach,-74.0795529253982,40.5802474135096,Staten Island
Port Richmond,-74.1294342679701,40.6336693055436,Staten Island
Mariner's Harbor,-74.1500853704698,40.6325463904811,Staten Island
Port Ivory,-74.1746453299354,40.6396829784554,Staten Island
Castleton Corners,-74.1191805853484,40.6133359376674,Staten Island
New Springville,-74.1649603132983,40.5942523791617,Staten Island
Travis,-74.1907371753812,40.5863137510328,Staten Island
New Dorp,-74.1164794360638,40.5725723182063,Staten Island
Oakwood,-74.121565937719,40.5584622432888,Staten Island
Great Kills,-74.1493238149099,40.5494802287136,Staten Island
Eltingville,-74.1643308041936,40.5422307474507,Staten Island
Annadale,-74.1785486616588,40.5381141747451,Staten Island
Woodrow,-74.2052458248033,40.5419676228888,Staten Island
Tottenville,-74.2465693423528,40.5053337611564,Staten Island
Tompkinsville,-74.0805535179012,40.6373160671103,Staten Island
Silver Lake,-74.0962902923546,40.6191931079268,Staten Island
Sunnyside,-74.0971255217853,40.6127601575649,Staten Island
Ditmas Park,-73.9610131246678,40.643675183341,Brooklyn
Wingate,-73.9371868055931,40.6609465618811,Brooklyn
Rugby,-73.9268821261696,40.6555723132808,Brooklyn
Park Hill,-74.080157349363,40.6091904443456,Staten Island
Westerleigh,-74.133041439517,40.6210904727541,Staten Island
Graniteville,-74.1531524638776,40.6201715122319,Staten Island
Arlington,-74.1651042024112,40.6353250991149,Staten Island
Arrochar,-74.0671236322558,40.5963125712767,Staten Island
Grasmere,-74.0766743627905,40.5982683595999,Staten Island
Old Town,-74.0875111800558,40.5963289137951,Staten Island
Dongan Hills,-74.0963990531252,40.5886729481993,Staten Island
Midland Beach,-74.0934826630359,40.5735269057428,Staten Island
Grant City,-74.1058559854543,40.5762155871179,Staten Island
New Dorp Beach,-74.1043270746912,40.5642554930734,Staten Island
Bay Terrace,-74.1391662217577,40.5539880085846,Staten Island
Huguenot,-74.1917410574781,40.5319119204896,Staten Island
Pleasant Plains,-74.2198310661678,40.5246993761181,Staten Island
Butler Manor,-74.2295035026003,40.5060816534631,Staten Island
Charleston,-74.2321577589653,40.5305314828331,Staten Island
Rossville,-74.2157285111395,40.5494040065007,Staten Island
Arden Heights,-74.1858867458389,40.5492858227832,Staten Island
Greenridge,-74.1707941478609,40.5552952361732,Staten Island
Heartland Village,-74.159022081566,40.5891389487528,Staten Island
Chelsea,-74.1895604551969,40.594726027463,Staten Island
Bloomfield,-74.1872563838157,40.6057786845236,Staten Island
Bulls Head,-74.1594094865712,40.6095918004203,Staten Island
Carnegie Hill,-73.9532564683711,40.7826825671257,Manhattan
Noho,-73.988433680236,40.7232590188577,Manhattan
Civic Center,-74.0054152987336,40.7152289204628,Manhattan
Midtown South,-73.9887131328525,40.7485096643122,Manhattan
Richmond Town,-74.1340572986257,40.569605942755,Staten Island
Shore Acres,-74.0666776606177,40.6097193407928,Staten Island
Clifton,-74.072642445484,40.6191784520284,Staten Island
Concord,-74.0840236474036,40.6044731896879,Staten Island
Emerson Hill,-74.0977620697252,40.606794394801,Staten Island
Randall Manor,-74.0980506237389,40.6356300068115,Staten Island
Howland Hook,-74.1862233174982,40.638432837948,Staten Island
Elm Park,-74.1418167896889,40.6301467411938,Staten Island
Remsen Village,-73.9166533197805,40.6521174517935,Brooklyn
New Lots,-73.8851177637929,40.6627442796966,Brooklyn
Paerdegat Basin,-73.9023347429584,40.6313175503967,Brooklyn
Mill Basin,-73.915153915504,40.6159742396234,Brooklyn
Jamaica Hills,-73.7964646208159,40.7114596437048,Queens
Utopia,-73.7967167802835,40.7335002542976,Queens
Pomonok,-73.8048612004054,40.7349361807548,Queens
Astoria Heights,-73.8946799627057,40.7703173929982,Queens
Claremont Village,-73.9011990338767,40.8314283416155,Bronx
Concourse Village,-73.9158465275901,40.8247804908429,Bronx
Mount Eden,-73.9165555196442,40.8438261767165,Bronx
Mount Hope,-73.9082993088199,40.8488416072466,Bronx
Sutton Place,-73.963556140943,40.7602803313137,Manhattan
Hunters Point,-73.9538678213075,40.7434140900735,Queens
Turtle Bay,-73.9677082458183,40.7520423695072,Manhattan
Tudor City,-73.9712192872227,40.7469174107402,Manhattan
Stuyvesant Town,-73.974051704692,40.7309995547706,Manhattan
Flatiron,-73.9909471052826,40.7396730476384,Manhattan
Sunnyside Gardens,-73.9181928643168,40.7456518060808,Queens
Blissville,-73.9324423526018,40.737250716945,Queens
Fulton Ferry,-73.9955075188842,40.7032810909301,Brooklyn
Vinegar Hill,-73.9811160359239,40.7033214988287,Brooklyn
Weeksville,-73.9305310881734,40.6750398650324,Brooklyn
Broadway Junction,-73.903316848526,40.6778610476953,Brooklyn
Dumbo,-73.9887528074504,40.7031763282269,Brooklyn
Manor Heights,-74.12059399718,40.6018095763144,Staten Island
Willowbrook,-74.132084474843,40.6037069262737,Staten Island
Sandy Ground,-74.2177663606857,40.5411399220918,Staten Island
Egbertville,-74.1272724060495,40.5791187429612,Staten Island
Roxbury,-73.8921376023282,40.5673758895703,Queens
Homecrest,-73.959184594287,40.5985250951373,Brooklyn
Middle Village,-73.881143192006,40.7164145111582,Queens
Prince's Bay,-74.2015255645766,40.5262640673481,Staten Island
Lighthouse Hill,-74.1379266377157,40.5765062937949,Staten Island
Richmond Valley,-74.2295708062694,40.5195414574891,Staten Island
Malba,-73.8266775713864,40.7906015567015,Queens
Highland Park,-73.890345709872,40.6819989345173,Brooklyn
Madison,-73.9484151532889,40.6093777011377,Brooklyn
Bronxdale,-73.8617257755512,40.8527229763302,Bronx
Allerton,-73.8593186322165,40.8657878780298,Bronx
Kingsbridge Heights,-73.9015226451314,40.8703923914147,Bronx
Erasmus,-73.9481770992018,40.6469260665858,Brooklyn
Hudson Yards,-74.0001113620264,40.7566580822752,Manhattan
Hammels,-73.8055300296872,40.5873377401874,Queens
Bayswater,-73.7659678144563,40.6113216912838,Queens
Queensbridge,-73.9456307033409,40.7560912970947,Queens
Fox Hills,-74.0817399221196,40.6173107925298,Staten Island
