,distance,name,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.longitude,location.formatted_address,location.neighborhood
38,27541,NYC EMS Hospital 54,40.668376,-73.98005,-73.98005,"7TH Ave, Brooklyn, NY 11215",['Park Slope']
39,27677,NYC EMS Hospital 48,40.656639,-73.943499,-73.943499,"451 Clarkson Ave (at New York Ave), Brooklyn, NY 11203",['Rugby']
40,29265,Kems,40.763897,-74.149302,-74.149302,"352 Maple St (Liberty St), Kearny, NJ 07032",['Arlington']
41,30034,AFC Urgent Care Kearny,40.762548,-74.15877,,"276 Passaic Ave, Kearny, NJ 07032",['East Newark']
42,31070,Numc Er,40.725815,-73.552828,,"2201 Hempstead Tpke (Carman Ave), East Meadow, NY 11554",
43,31232,NYU Lutheran Emergency Department,40.646044,-74.020408,-74.020408,"5598 2nd Ave (at 56th St), Brooklyn, NY 11220",
44,32641,Robert Kramer MD - South Nassau Community Hospital Er,40.650659,-73.631439,-73.631439,"1 Healthy Way, Oceanside, NY 11572",
45,32769,Franklin Lakes Volunteer Ambulance Corps,41.019921,-74.200741,-74.200741,"Bender Court, Franklin Lakes, NJ 07417",
46,33979,Bravo Volunteer Ambulance Service,40.618988,-74.020723,-74.020723,"8507 7th Ave (86th St), Brooklyn, NY 11228",['Dyker Heights']
47,35497,Haverstraw Ambulance,41.197975,-73.979683,-73.979683,"160 Route 9W, Haverstraw, NY 10927",
48,37021,NBIMC Baby Factory,40.7103,-74.213758,-74.213758,"201 Lyons Ave (at Newark Beth Israel), Newark, NJ 07112",['Townley']
49,38612,Pompton Lakes/Riverdale First Aid Squad,40.993608,-74.288169,-74.288169,"700 Ramapo Ave, Pompton Lakes, NJ 07442",
